     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.008,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.225,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         0,         0,    1.38,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,    2.04,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.057,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         0,         0,   0.048,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         0,         0,   0.195,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         2,         0,    1.66,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        14,         1,         0,    2.42,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         8,         2,         0,    3.85,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
